Bedrooms,Price,Number_of_reviews,Reviews_per_month,Rating
2,59,9,9,4.89
2,110,54,2.45,4.83
1,86,145,2.15,4.94
3,180,30,0.27,4.38
1,110,10,1.52,4.7
3,230,62,0.44,4.73
2,140,74,0.54,4.34
1,305,59,1.35,4.07
2,123,48,0.75,4.52
4,390,179,1.23,4.49
2,163,105,1.55,4.57
1,39,101,0.76,4.78
2,106,13,0.21,3.77
1,110,241,1.76,4.38
2,142,24,4.5,4.79
2,167,55,0.44,4.44
1,284,8,2.03,4.63
2,170,52,1.37,4.69
1,83,2,0.33,2
1,89,2,1.02,5
1,94,28,2.39,4.25
2,140,60,0.44,4.53
2,173,61,0.55,4.29
2,150,136,1.57,4.87
2,144,23,3.43,4.7
1,100,58,1.45,4.97
1,200,93,0.67,4.74
3,111,109,1.89,4.45
3,120,8,5.71,4.88
3,250,1,0.01,5
1,157,70,0.5,4.19
1,93,35,2.28,3.37
3,230,1,1,5
4,63,11,0.08,4
3,328,41,0.88,4.44
1,17,2,0.06,5
1,421,555,5.65,4.74
1,55,2,0.02,5
1,55,8,0.06,4.33
1,100,56,1.31,4.91
1,124,18,2.66,4.83
1,33,10,6.98,4.9
3,326,45,1.05,4.51
4,347,1,0.12,5
4,280,166,1.21,4.57
2,150,234,3.54,4.85
2,128,68,0.67,4.11
3,128,162,2.57,4.81
2,98,110,0.9,4.11
1,43,104,2.72,4.86
4,151,106,1.61,4.7
1,100,35,1.19,4.63
2,183,29,0.21,4.11
2,150,1,0.7,5
2,159,99,1.8,4.61
3,163,55,0.42,4.51
1,257,102,1.78,4.46
2,130,15,0.48,4.67
3,100,145,1.05,4.6
1,180,45,1.21,4.4
3,138,156,2.47,4.72
3,330,21,0.17,4.65
1,87,7,3.23,4.71
2,161,5,1.79,5
1,70,253,1.83,4.74
4,386,316,2.37,4.93
1,44,66,0.5,4.74
4,191,78,0.57,4.77
1,31,352,2.69,4.52
1,189,35,0.28,4.23
4,370,78,0.62,4.7
3,298,42,0.31,4.5
4,263,32,0.24,4.5
2,116,185,1.41,4.68
1,61,334,2.49,4.87
1,76,126,1.24,4.71
1,150,114,0.86,4.87
2,130,131,0.98,4.64
2,118,295,2.5,4.77
1,40,129,0.97,4.6
3,344,104,0.77,4.48
1,19,152,1.22,4.66
2,44,27,0.2,4.35
1,50,48,0.37,4.78
1,230,62,0.82,4.64
3,292,80,0.8,4.33
1,95,50,0.38,4.74
3,175,34,0.37,4.19
1,18,125,1.4,4.23
1,67,20,0.5,5
