Bedrooms,Price,Number_of_reviews,Reviews_per_month,Rating
2,138,131,1.29,4.54
2,199,167,1.67,4.72
6,595,187,2.2,4.41
2,144,23,3.43,4.7
1,123,318,4.37,4.58
1,92,55,0.43,4.69
2,145,361,3.46,4.71
1,54,186,1.88,4.37
2,202,139,1.52,4.38
3,208,8,0.07,3.25
1,87,7,3.23,4.71
2,272,5,0.07,5
1,105,40,0.4,4.6
3,180,2,0.07,5
1,124,170,1.86,4.63
3,144,203,2.71,4.8
3,162,108,1.09,4.67
2,180,81,0.71,4.81
2,205,65,0.57,4.67
1,84,431,4.79,4.81
2,935,1,0.01,4
2,340,136,1.96,4.89
3,179,64,0.6,4.05
2,175,350,3.54,4.95
2,220,205,2.4,4.25
1,50,20,0.23,4.45
1,182,108,1.29,4.87
2,150,152,1.48,4.72
3,183,151,1.83,4.7
3,170,293,3.04,4.84
2,140,88,1.21,4.69
3,187,97,1.3,4.7
3,173,2,0.16,5
3,426,143,2.02,4.6
1,31,108,1.63,4.91
1,20,45,0.59,4.49
2,272,10,0.12,4.33
2,150,234,2.35,4.79
1,75,247,3.16,4.8
1,83,64,1.93,4.95
1,59,3,0.04,4
3,158,194,2.44,4.9
1,168,196,2.26,4.81
2,138,63,0.71,4.46
2,214,177,2.29,4.54
2,58,49,0.49,4.57
1,146,184,1.92,4.32
4,192,274,2.36,4.72
1,46,208,2.35,4.83
2,165,272,2.67,4.76
3,220,28,0.44,4.86
6,570,54,0.81,4.17
3,86,430,3.78,4.75
1,112,267,4.24,4.49
2,151,109,0.96,4.56
1,70,3,1.8,4.67
3,225,50,0.64,4.57
1,70,13,8.13,4.62
3,133,17,0.26,4.25
2,265,174,1.73,4.28
1,89,2,1.02,5
1,39,128,1.32,4.4
1,55,12,0.18,4.92
2,150,36,2.62,4.92
2,110,5,0.08,4
2,113,261,2.3,4.54
1,208,54,0.71,4.56
2,138,61,0.54,4.66
2,123,224,1.96,4.48
3,186,3,0.05,4.67
2,236,38,0.58,4.63
2,150,205,2.7,4.8
3,273,73,0.93,4.82
3,236,130,1.5,4.55
2,360,347,3.05,4.97
2,205,33,0.33,4.06
2,125,131,1.19,4.56
1,30,81,1.12,4.98
1,28,2,0.02,4
2,150,44,0.47,4.66
1,78,92,1.35,4.74
3,452,69,1.04,4.19
3,194,254,2.36,4.8
2,457,6,0.08,5
1,17,10,0.19,4.7
2,115,156,1.62,4.68
2,146,186,1.83,4.77
3,235,159,1.42,4.63
1,78,146,2.01,4.62
3,185,146,1.7,4.8
2,92,99,1.11,4.19
2,229,122,1.81,4.92
3,168,76,0.87,4.61
3,300,142,2.03,4.89
1,210,153,2.04,4.78
3,282,144,1.67,4.63
1,88,389,3.41,4.8
4,265,117,0.94,4.66
1,57,4,0.06,5
1,35,73,0.86,4.44
1,29,17,0.15,4.81
3,201,321,3.93,4.49
1,80,24,0.24,4.25
2,216,82,1.08,4.41
2,85,260,2.7,4.39
2,150,273,2.68,4.54
1,33,325,3.82,4.89
2,209,36,0.41,4.39
3,493,5,0.04,5
3,236,58,0.62,4.36
2,129,43,0.59,4.74
2,139,124,1.63,4.79
1,29,4,0.06,4.75
1,59,19,0.19,4.68
1,80,11,0.16,4.73
2,70,1,0.01,4
3,253,177,2.1,4.4
1,25,399,3.55,4.58
3,181,70,1.15,4.75
4,370,78,0.62,4.7
1,75,42,0.65,4.88
1,21,155,2.3,4.85
3,185,268,2.15,4.63
1,150,142,1.92,4.82
1,267,275,3.06,4.89
2,105,133,1.66,4.83
2,144,105,1.59,4.83
2,143,101,0.84,4.56
1,50,201,2.82,4.88
1,125,341,3.47,4.96
1,29,266,2.39,4.48
3,142,158,1.39,4.72
1,173,82,1.29,4.44
1,148,10,0.15,3.7
2,185,107,1.19,4.77
2,140,152,1.3,4.26
4,286,151,2.23,4.9
3,140,6,0.55,4.5
2,60,10,0.13,4.4
2,111,2,0.04,4.5
3,290,12,0.14,4.25
3,230,107,0.87,4.72
4,277,258,2.22,4.76
1,109,273,2.46,4.39
4,322,205,2.05,4.56
2,239,11,0.1,3.82
